station_record_id,station_id,station_type,station_name,start_date,end_date,is_active,sido_name,sigungu_name,address,latitude,longitude,altitude_m,source_category_code,source_category_name,source_url,captured_at,region_filter_method
ASOS_156_1939-05-01,156,ASOS,광주,1939-05-01,,true,광주광역시,북구,광주광역시 북구 운암동,35.1729,126.8916,70.28,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_164_1993-01-01,164,ASOS,무안,1993-01-01,2000-07-31,false,전라남도,,전라남도,35.0938,126.2851,24.49,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_165_1904-04-08,165,ASOS,목포,1904-04-08,2019-10-31,false,전라남도,목포시,전라남도 목포시 연산동,34.8169,126.3812,38,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_165_2019-10-31,165,ASOS,목포,2019-10-31,,true,전라남도,목포시,전라남도 목포시 연산동,34.8173,126.3815,44.7,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_168_1942-03-01,168,ASOS,여수,1942-03-01,,true,전라남도,여수시,전라남도 여수시 중앙동,34.7393,127.7406,65.93,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_169_1997-01-01,169,ASOS,흑산도,1997-01-01,,true,전라남도,신안군,전라남도 신안군 흑산면 예리,34.6872,125.4511,75.12,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_170_1971-01-31,170,ASOS,완도,1971-01-31,,true,전라남도,완도군,전라남도 완도군 군외면 불목리,34.3959,126.7018,35.37,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_174_2011-04-01,174,ASOS,순천,2011-04-01,,true,전라남도,순천시,전라남도 순천시 승주읍 평중리,35.0204,127.3694,165,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_175_2001-11-03,175,ASOS,진도(첨찰산),2001-11-03,2019-08-01,false,전라남도,진도군,전라남도 진도군 의신면 사천리,34.4721,126.3238,478.51,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_252_2007-11-26,252,ASOS,영광군,2007-11-26,,true,전라남도,영광군,전라남도 영광군 군서면 만곡리,35.2837,126.4778,37.2,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_256_1972-01-21,256,ASOS,순천,1972-01-21,2011-04-01,false,전라남도,순천시,전라남도 순천시 주암면 구산리,35.075,127.2391,74.4,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_256_2011-04-01,256,ASOS,주암,2011-04-01,2012-07-02,false,전라남도,순천시,전라남도 순천시 주암면 구산리,35.075,127.2391,74.63,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_258_2010-02-08,258,ASOS,보성군,2010-02-08,2010-03-11,false,전라남도,보성군,전라남도 보성군 득량면 예당리,34.7633,127.2123,2.8,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_258_2010-03-11,258,ASOS,보성군,2010-03-11,,true,전라남도,보성군,전라남도 보성군 득량면 예당리,34.7634,127.2123,1.41,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
ASOS_259_2009-11-10,259,ASOS,강진군,2009-11-10,2021-02-25,false,전라남도,강진군,전라남도 강진군 강진읍 남포리,34.6289,126.7672,9.95,SFC01,종관기상관측,https://data.kma.go.kr/tmeta/stn/selectStnList.do,2026-04-30T18:55:51.543060Z,KMA station metadata address starts with 광주광역시 or 전라남도
