region_code,region_name,sido_name,sigungu_code,sigungu_name,emd_name,representative_longitude,representative_latitude,admin_unit_type,forest_type_class,road_access_class,slope_class,dryness_class,settlement_interface_class,geometry_source,code_match_status,profile_generated_at,profile_basis
2911010100,광주광역시 동구 대인동,광주광역시,29110,동구,대인동,126.9152442,35.1540669,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010200,광주광역시 동구 금남로5가,광주광역시,29110,동구,금남로5가,126.9121244,35.1526967,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010300,광주광역시 동구 충장로5가,광주광역시,29110,동구,충장로5가,126.9112764,35.1514283,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010400,광주광역시 동구 수기동,광주광역시,29110,동구,수기동,126.9097782,35.1504733,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010500,광주광역시 동구 대의동,광주광역시,29110,동구,대의동,126.9201447,35.1491445,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010600,광주광역시 동구 궁동,광주광역시,29110,동구,궁동,126.918828,35.1506315,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010700,광주광역시 동구 장동,광주광역시,29110,동구,장동,126.9222916,35.1501592,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010800,광주광역시 동구 동명동,광주광역시,29110,동구,동명동,126.9261152,35.1506533,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911010900,광주광역시 동구 계림동,광주광역시,29110,동구,계림동,126.9208427,35.1593959,urban_dong,urban_interface,dense_road,low,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
2911011000,광주광역시 동구 산수동,광주광역시,29110,동구,산수동,126.9353836,35.1568609,urban_dong,urban_interface,dense_road,medium,seasonal,high,data/raw/SOURCE_ADMIN_BOUNDARIES/snapshots/full/LP_AA_EMD_gwangju_jeonnam.csv,active_legal_code_boundary_geometry_match,2026-05-01T00:29:44+09:00,boundary representative point + legal dong admin type heuristic
