station_id,fire_station_id,station_type,sido_name,sigungu_name,sigungu_code,emd_name,region_code,legal_dong_code,hq_name,fire_station_name,station_name,station_address,station_phone,station_fax,registry_row_id,registry_updated_at,has_official_coordinate,longitude,latitude,coordinate_source,admin_match_status
FSC-035CE24890,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,비아동,2920011200,2920011200,광주광역시,광산소방서,비아119안전센터,광주광역시 광산구 비아로12번길 10(비아동),062-606-4671,062-606-4684,288,2025-07-01,False,,,,legal_dong_match
FSC-AF5BC8A093,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,삼거동,2920016000,2920016000,광주광역시,광산소방서,빛그린119안전센터,광주광역시 광산구 삼도로 65(삼거동),062-606-4731,062-606-4744,289,2025-07-01,False,,,,legal_dong_match
FSC-8BCAD4E8B9,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,도산동,2920010200,2920010200,광주광역시,광산소방서,송정119안전센터,광주광역시 광산구 상무대로 93-1(도산동),062-606-4641,062-606-4654,290,2025-07-01,False,,,,legal_dong_match
FSC-D7A4652F13,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,신가동,2920011900,2920011900,광주광역시,광산소방서,신가119안전센터,광주광역시 광산구 수등로 236(신가동),062-606-4686,062-606-4699,291,2025-07-01,False,,,,legal_dong_match
FSC-68616EE401,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,우산동,2920010900,2920010900,광주광역시,광산소방서,월곡119안전센터,광주광역시 광산구 우산로 85번길 12-5(우산동),062-606-4656,062-606-4669,292,2025-07-01,False,,,,legal_dong_match
FSC-F81E8F0A4E,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,쌍암동,2920011600,2920011600,광주광역시,광산소방서,첨단119안전센터,광주광역시 광산구 임방울대로825번길 16(쌍암동),062-606-4701,062-606-4714,293,2025-07-01,False,,,,legal_dong_match
FSC-D41B005E0D,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,월전동,2920014600,2920014600,광주광역시,광산소방서,평동119안전센터,광주광역시 광산구 월전로 59(월전동),062-606-4716,062-606-4729,294,2025-07-01,False,,,,legal_dong_match
FSC-2FE6D4A11C,FS-708BC83177,119_safety_center,광주광역시,광산구,29200,하남동,2920012500,2920012500,광주광역시,광산소방서,하남119안전센터,광주광역시 광산구 하남산단1번로 13(하남동),062-606-4601,062-606-4629,295,2025-07-01,False,,,,legal_dong_match
FSC-759F7D9157,FS-22FC3CF776,119_safety_center,광주광역시,남구,29155,지석동,2915512000,2915512000,광주광역시,남부소방서,대촌119안전센터,광주광역시 남구 회재로 251(지석동),062-606-4441,062-606-4454,296,2025-07-01,False,,,,legal_dong_match
FSC-A5D661ACBE,FS-22FC3CF776,119_safety_center,광주광역시,남구,29155,방림동,2915511400,2915511400,광주광역시,남부소방서,봉선119안전센터,광주광역시 남구 오방로 63(방림동),062-606-4426,062-606-4439,297,2025-07-01,False,,,,legal_dong_match
